DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
12/11/2025,LUMAYA VYN   58.74_V,58.74,,141.26
12/11/2025,SHELL C47030      _F,35.29,,105.97
12/11/2025,SHELL C47030      _F,34.32,,71.65
12/11/2025,SEND E-TFR ***ZCB,50.65,,21
12/11/2025,WALMART STORE #   _F,19.39,,1.61
12/12/2025,SHELL C47030      _F,,17.92,19.53
12/12/2025,SEND E-TFR ***ga5,19.53,,0
12/19/2025,E-TRANSFER ***wMR,,100,100
12/19/2025,APPLE.COM/BILL    _V,78.39,,21.61
12/19/2025,APPLE.COM/BILL    _V,11.19,,10.42
12/19/2025,APPLE.COM/BILL    _V,4.47,,5.95
12/19/2025,PROVINCE OF B.C  PAY,,2284.42,2290.37
12/19/2025,SHELL C47030      _F,45.5,,2244.87
12/19/2025,SHELL C47030      _F,25,,2219.87
12/19/2025,SEND E-TFR ***wGu,267.39,,1952.48
12/19/2025,SEND E-TFR ***Trg,89.59,,1862.89
12/19/2025,JW492 TFR-TO C/C,150,,1712.89
12/19/2025,JW494 TFR-TO 4012227,75,,1637.89
12/19/2025,SEND E-TFR ***C4G,237.89,,1400
12/19/2025,SEND E-TFR ***car,250,,1150
12/19/2025,SEND E-TFR ***FZs,306.15,,843.85
12/19/2025,SHAW CABLESYSTE   _V,250,,593.85
12/19/2025,BELL MOBILITY     _V,120,,473.85
12/19/2025,JL140 TFR-FR 4012227,,75,548.85
12/19/2025,JL143 TFR-FR C/C,,50,598.85
12/19/2025,WALMART STORE #,155.62,,443.23
12/19/2025,WALMART STORE #,189.51,,253.72
12/19/2025,STARBUCKS COFFE   _F,6.78,,246.94
12/19/2025,WALMART STORE #,96.91,,150.03
12/19/2025,AMZN Mktp CA      _V,36.19,,113.84
12/22/2025,AMZN Mktp CA      _V,36.7,,77.14
12/22/2025,PROTON AG    16.24_V,16.24,,60.9
12/22/2025,UX525 TFR-TO C/C,5,,55.9
12/22/2025,UY021 TFR-TO C/C,55,,0.9
12/22/2025,WALMART STORE #,,51.5,52.4
12/22/2025,SHELL C47030      _F,35.29,,17.11
12/22/2025,"GITHUB, IN    4.00_V",5.71,,11.4
12/22/2025,"GITHUB, IN    4.00_V",5.71,,5.69
12/22/2025,"GITHUB, IN    1.76_V",2.52,,3.17
12/22/2025,GC 1020-LIFE INSC CO,,273.47,276.64
12/22/2025,SEND E-TFR ***ngM,50,,226.64
12/22/2025,SEND E-TFR ***4Dx,75,,151.64
12/22/2025,LOAN INSURANCE PREM,44.45,,107.19
12/22/2025,LOAN INSUR PREM ADJ,,31.5,138.69
12/23/2025,"GITHUB, IN    9.68_V",13.84,,124.85
12/23/2025,"GITHUB, IN    3.87_V",5.53,,119.32
12/23/2025,Amazon Channels   _V,16.79,,102.53
12/23/2025,RCH Trend Micro   _V,61.55,,40.98
12/23/2025,APPLE.COM/BILL    _V,39.19,,1.79
12/29/2025,E-TRANSFER ***TnR,,900,901.79
12/29/2025,SEND E-TFR ***rJa,156.79,,745
12/29/2025,IW364 TFR-TO C/C,350,,395
12/29/2025,IY010 TFR-TO C/C,100,,295
12/29/2025,JQ050 TFR-TO C/C,95,,200
12/29/2025,SEND E-TFR ***6XC,100,,100
12/29/2025,THE HOME DEPOT    _F,14.5,,85.5
12/29/2025,E-TRANSFER ***aqm,,14,99.5
12/29/2025,WESTERN COAST I,94.29,,5.21
12/31/2025,WITHDRAWAL FEES,75,,-69.79
12/31/2025,MONTHLY ACCOUNT FEE,3.95,,-73.74
1/2/2026,PROVINCE OF B.C  PAY,,2014.87,1941.13
1/2/2026,APPLE.COM/BILL    _V,11.19,,1929.94
1/2/2026,APPLE.COM/BILL    _V,12.31,,1917.63
1/2/2026,SEND E-TFR ***rG3,1026,,891.63
1/2/2026,E-TRANSFER ***whf,,1260,2151.63
1/2/2026,SEND E-TFR ***tZ9,1650,,501.63
1/2/2026,SEND E-TFR ***g29,175,,326.63
1/2/2026,IR552 TFR-TO 7152309,15.52,,311.11
1/2/2026,IR571 TFR-TO 4012227,44.73,,266.38
1/2/2026,IR502 TFR-TO C/C,54.19,,212.19
1/2/2026,IR594 TFR-TO 7152309,7.39,,204.8
1/2/2026,APPLE.COM/BILL    _V,50.38,,154.42
1/2/2026,APPLE.COM/BILL    _V,22.39,,132.03
1/2/2026,APPLE.COM/BILL    _V,39.19,,92.84
1/2/2026,AMAZON            _V,11.19,,81.65
1/2/2026,IZ305 TFR-FR 7152309,,6.67,88.32
1/2/2026,TRAPYNAPA    82.00_V,82,,6.32
1/5/2026,UO470 TFR-FR C/C,,109.68,116
1/5/2026,SEND E-TFR ***6GH,74.07,,41.93
1/5/2026,SUBWAY 14690      _F,6,,35.93
1/5/2026,SUBWAY 14690      _F,12.08,,23.85
1/5/2026,MOSI BAKERY CAF   _F,4.65,,19.2
1/5/2026,LU303 TFR-FR C/C,,80,99.2
1/5/2026,LU390 TFR-FR C/C,,40,139.2
1/5/2026,LU392 TFR-FR 7152309,,6.69,145.89
1/5/2026,WALMART STORE #,139.64,,6.25
1/5/2026,LX234 TFR-FR 7152309,,6.69,12.94
1/5/2026,LX240 TFR-FR 4012227,,5,17.94
1/6/2026,LN PYMT   *022973402,599.4,,-581.46
1/6/2026,LN PYMT-C *022973402,,599.4,17.94
1/6/2026,LN RTN FEE*022973402,48,,-30.06
1/14/2026,JAN03 IDP PUR REV,,6,-24.06
1/16/2026,PROVINCE OF B.C  PAY,,1962.53,1938.47
1/16/2026,LN PYMT    022973402,599.4,,1339.07
1/16/2026,APPLE.COM/BILL    _V,61,,1278.07
1/16/2026,APPLE.COM/BILL    _V,39.19,,1238.88
1/16/2026,SHELL C47030      _F,25,,1213.88
1/16/2026,SQ *PEPPERCORN    _F,42,,1171.88
1/16/2026,THE B.C MUSLIM    _F,20,,1151.88
1/16/2026,SQ *BCMA VICTOR   _F,10,,1141.88
1/16/2026,DUAA SUPERMARKE   _F,19.84,,1122.04
1/16/2026,SEND E-TFR ***2C6,225,,897.04
1/16/2026,JT014 TFR-TO C/C,50,,847.04
1/16/2026,SEND E-TFR ***MCa,97.04,,750
1/16/2026,ZEFFY* BC MUSLI   _V,40.25,,709.75
1/16/2026,APPLE.COM/BILL    _V,60.47,,649.28
1/16/2026,GXBARBERS         _F,42,,607.28
1/16/2026,Uniqlo Canada M   _F,123.26,,484.02
1/16/2026,H-MART VICTORIA   _F,2.61,,481.41
1/19/2026,APPLE.COM/BILL    _V,12.31,,469.1
1/19/2026,APPLE.COM/BILL    _V,67.18,,401.92
1/19/2026,Audible CA    8.99_V,8.99,,392.93
1/20/2026,PROTON AG*   16.24_V,16.24,,376.69
1/20/2026,Amazon Channels   _V,16.79,,359.9
1/20/2026,E-TRANSFER ***VQB,,45,404.9
1/20/2026,RD520 TFR-FR 4012227,,5,409.9
1/20/2026,RD533 TFR-FR C/C,,4,413.9
1/20/2026,SEND E-TFR ***kCh,243.9,,170
1/20/2026,SEND E-TFR ***gBs,50,,120
1/20/2026,PAYPAL *DOANLAN   _V,59.78,,60.22
1/20/2026,BOLEN BOOKS       _F,33.6,,26.62
1/20/2026,E-TRANSFER ***bDQ,,51,77.62
1/20/2026,WALMART STORE #   _F,76.18,,1.44
1/21/2026,PROVINCE OF B.C  PRO,,52,53.44
1/21/2026,"GITHUB, IN   17.47_V",25.1,,28.34
1/21/2026,"GITHUB, IN    8.00_V",11.5,,16.84
1/21/2026,E-TRANSFER ***PBS,,2.63,19.47
1/22/2026,SHELL C47030      _F,17.92,,1.55
1/27/2026,E-TRANSFER ***wXT,,126.47,128.02
1/28/2026,DOORDASHBIRYANI   _V,64.79,,63.23
1/28/2026,SEND E-TFR ***Bgz,58.23,,5
1/28/2026,WB200 TFR-TO 4012227,5,,0
1/30/2026,PROVINCE OF B.C  PAY,,3255.44,3255.44
1/30/2026,SEND E-TFR ***WuF,125,,3130.44
1/30/2026,JL440 TFR-TO C/C,159.3,,2971.14
1/30/2026,SEND E-TFR ***CgH,271.14,,2700
1/30/2026,SEND E-TFR ***grh,125,,2575
1/30/2026,APPLE.COM/BILL    _V,22.39,,2552.61
1/30/2026,SEND E-TFR ***XD2,250,,2302.61
1/30/2026,PAYPAL *NGUYEN    _V,108.57,,2194.04
1/30/2026,MCDONALD'S #101   _F,17.1,,2176.94
1/30/2026,7 ELEVEN STORE,11.28,,2165.66
1/30/2026,7- ELEVEN 26286   _F,45,,2120.66
1/30/2026,BCF - ONLINE SA   _V,40,,2080.66
1/30/2026,SEND E-TFR ***KMB,1700,,380.66
1/30/2026,OVERDRAFT INTEREST,0.21,,380.45
1/30/2026,WITHDRAWAL FEES,61.25,,319.2
1/30/2026,MONTHLY ACCOUNT FEE,3.95,,315.25
2/2/2026,APPLE.COM/BILL    _V,55.98,,259.27
2/2/2026,APPLE.COM/BILL    _V,80.62,,178.65
2/2/2026,APPLE.COM/BILL    _V,60.47,,118.18
2/2/2026,SPINNAKERS BREW   _F,40.02,,78.16
2/2/2026,Amazon Channels   _V,7.83,,70.33
2/2/2026,SEND E-TFR ***Xhx,70,,0.33
2/2/2026,UT104 TFR-FR C/C,,50,50.33
2/2/2026,SEND E-TFR ***gFv,50,,0.33
2/2/2026,APPLE.COM/BILL    _V,,16.79,17.12
2/2/2026,SEND E-TFR ***JHx,17.12,,0
2/5/2026,LOAN INSURANCE PREM,12.95,,-12.95
2/6/2026,GC 5172-REV-LOAN INS,,12.95,0
2/9/2026,E-TRANSFER ***5Nb,,7.5,7.5
2/9/2026,SEND E-TFR ***6mz,7.5,,0
2/13/2026,PROVINCE OF B.C  PRO,,2472.27,2472.27
2/13/2026,JH454 TFR-TO 7152309,8.04,,2464.23
2/13/2026,JH465 TFR-TO 4012227,49.48,,2414.75
2/13/2026,JH474 TFR-TO C/C,32.57,,2382.18
2/13/2026,SEND E-TFR ***kmt,2100,,282.18
2/13/2026,SHAW CABLESYSTE   _V,75,,207.18
2/13/2026,BC-HYDRO-BILL-P   _V,75,,132.18
2/13/2026,PAYMENTUS-SERVI   _V,0.75,,131.43
2/13/2026,SEND E-TFR ***B2R,75,,56.43
2/13/2026,SEND E-TFR ***SDy,56.43,,0
2/20/2026,JO230 TFR-FR 7152309,,2.66,2.66
2/20/2026,JO231 TFR-FR 4012227,,20,22.66
2/20/2026,SEND E-TFR ***XB3,22.66,,0
2/25/2026,GC 9956-DEPOSIT,,400,400
2/25/2026,SHELL C47030      _F,25,,375
2/25/2026,SEND E-TFR ***afk,375,,0
2/25/2026,E-TRANSFER ***CuQ,,75,75
2/25/2026,TU *TRANSU   26.20_V,26.2,,48.8
2/26/2026,Amazon Channels   _V,16.79,,32.01
2/26/2026,E-TRANSFER ***6qS,,300,332.01
2/26/2026,DOORDASHBIRYANI   _V,74.99,,257.02
2/26/2026,DOORDASHDASHPAS   _V,10.49,,246.53
2/27/2026,PROTON AG*   16.24_V,16.24,,230.29
2/27/2026,PROVINCE OF B.C  PRO,,2486.02,2716.31
2/27/2026,SEND E-TFR ***5eS,1880,,836.31
2/27/2026,SEND E-TFR ***aTJ,416,,420.31
2/27/2026,LOAN INS,12.95,,407.36
2/27/2026,E-TRANSFER ***ztX,,19.68,427.04
2/27/2026,CIRCUIT STREAM    _V,405.18,,21.86
2/27/2026,JT243 TFR-TO 4012227,10,,11.86
2/27/2026,JT245 TFR-TO C/C,11.86,,0
2/27/2026,OVERDRAFT INTEREST,0.01,,-0.01
2/27/2026,WITHDRAWAL FEES,23.75,,-23.76
2/27/2026,MONTHLY ACCOUNT FEE,3.95,,-27.71
3/4/2026,E-TRANSFER ***aHN,,290,262.29
3/4/2026,SHAW CABLESYSTE   _V,261,,1.29
3/5/2026,LOAN INSURANCE PREM,12.95,,-11.66
3/6/2026,GC 5172-REV-LOAN INS,,12.95,1.29
9/10/2024,WJ245 TFR-TO C/C,31.04,,0
9/13/2024,E-TRANSFER ***4xv,,300,300
9/13/2024,JW361 TFR-TO C/C,250,,50
9/17/2024,WQ144 TFR-TO C/C,35,,15
9/18/2024,PROVINCE OF B.C  PRO,,52,67
9/20/2024,JI234 TFR-TO C/C,42,,25
9/20/2024,SEND E-TFR ***T7J,24.5,,0.5
9/20/2024,SEND E-TFR FEE,0.5,,0
9/24/2024,E-TRANSFER ***3J3,,100,100
9/24/2024,WX330 TFR-TO C/C,100,,0
9/27/2024,E-TRANSFER ***HAV,,80,80
9/27/2024,JO011 TFR-TO C/C,80,,0
9/27/2024,MONTHLY ACCOUNT FEE,3.95,,-3.95
10/11/2024,E-TRANSFER ***4Ca,,450,446.05
10/11/2024,JL253 TFR-TO C/C,350,,96.05
10/11/2024,SEND E-TFR ***hBd,95,,1.05
10/11/2024,SEND E-TFR FEE,0.5,,0.55
10/23/2024,PROVINCE OF B.C  PRO,,52,52.55
10/25/2024,JT491 TFR-TO C/C,52.55,,0
10/25/2024,E-TRANSFER ***7H7,,123.5,123.5
10/25/2024,JU290 TFR-TO C/C,123.5,,0
10/30/2024,E-TRANSFER ***rqq,,50,50
10/30/2024,HX305 TFR-TO C/C,50,,0
10/31/2024,OVERDRAFT INTEREST,0.02,,-0.02
10/31/2024,MONTHLY ACCOUNT FEE,3.95,,-3.97
11/8/2024,E-TRANSFER ***Sty,,150,146.03
11/8/2024,JL464 TFR-TO C/C,96.03,,50
11/12/2024,CONSUMER LN PROCEEDS,,35000,35050
11/12/2024,LN PYMT   *022973401,6154.07,,28895.93
11/12/2024,CREDIT CARD PAYMENT,2964.74,,25931.19
11/12/2024,CREDIT CARD PAYMENT,10273.09,,15658.1
11/12/2024,CAD DRAFT 00664715,14705.24,,952.86
11/18/2024,WALMART STORE #,380.29,,572.57
11/18/2024,FIN DEBT REC L6Q8Q5,161,,411.57
11/18/2024,SEND E-TFR ***X9p,77.37,,334.2
11/18/2024,SEND E-TFR FEE,0.5,,333.7
11/20/2024,PROVINCE OF B.C  PRO,,52,385.7
11/22/2024,JO151 TFR-TO C/C,25.43,,360.27
11/22/2024,E-TRANSFER ***ze8,,250,610.27
11/22/2024,JQ190 TFR-FR C/C,,150,760.27
11/25/2024,TD ATM W/D    001489,100,,660.27
11/25/2024,LN PYMT   *022973402,608.58,,51.69
11/25/2024,DRAFT REIMBURSEMENT,,14695.29,14746.98
11/25/2024,LOAN INSURANCE PREM,44.45,,14702.53
11/26/2024,DRAFT REIMBURSEMENT,,9.95,14712.48
11/26/2024,CAD DRAFT 00664833,14705.24,,7.24
11/28/2024,E-TRANSFER ***jSp,,90,97.24
11/28/2024,IW342 TFR-TO C/C,95,,2.24
11/29/2024,OVERDRAFT INTEREST,0.02,,2.22
11/29/2024,WITHDRAWAL FEES,1.25,,0.97
11/29/2024,MONTHLY ACCOUNT FEE,3.95,,-2.98
12/6/2024,E-TRANSFER ***PeJ,,272.53,269.55
12/6/2024,JR454 TFR-TO C/C,219.55,,50
12/9/2024,E-TRANSFER ***Wan,,600,650
